molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1822090,active,8.346787486224656,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)CC(C)C)c3F)cc12,439.44400000000013,2.894700000000001,3.0,6.0
CHEMBL1822091,active,7.769551078621726,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)CC4CC4)c3F)cc12,437.42800000000017,2.6487000000000007,3.0,6.0
CHEMBL1822089,active,8.886056647693163,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)CCCF)c3F)cc12,443.40700000000015,2.598300000000001,3.0,6.0
CHEMBL1822093,active,6.721246399047171,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)Cc4ccccc4)c3F)cc12,473.4610000000001,3.438900000000002,3.0,6.0
CHEMBL1822097,active,7.7447274948966935,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)N(C)C)c3F)cc12,426.4050000000001,1.7152999999999998,3.0,6.0
CHEMBL1822099,active,8.065501548756432,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)N4CCCC4)c3F)cc12,452.4430000000002,2.2495000000000003,3.0,6.0
CHEMBL1822095,active,6.958607314841775,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)NC(C)C)c3F)cc12,440.4320000000001,2.1517,4.0,6.0
CHEMBL1822096,active,7.886056647693163,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)NCC(F)F)c3F)cc12,462.38500000000005,2.0083999999999995,4.0,6.0
CHEMBL1822259,active,9.0,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4cc(F)ccc4F)c3F)cc12,495.4140000000001,3.5760000000000014,3.0,6.0
CHEMBL1822260,active,7.337242168318426,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4ccc(F)cc4)c3F)cc12,477.4240000000001,3.4369000000000014,3.0,6.0
CHEMBL1822258,active,9.154901959985743,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4cccc(F)c4)c3F)cc12,477.4240000000001,3.4369000000000014,3.0,6.0
CHEMBL1822256,active,7.928117992693875,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4)c3F)cc12,459.4340000000001,3.2978000000000014,3.0,6.0
CHEMBL1822257,active,8.744727494896694,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4ccccc4F)c3F)cc12,477.4240000000001,3.4369000000000014,3.0,6.0
CHEMBL1822261,active,7.795880017344075,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4ccccn4)c3F)cc12,460.4220000000001,2.692800000000001,3.0,7.0
CHEMBL1822262,active,9.301029995663981,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F)cc12,460.4220000000001,2.692800000000001,3.0,7.0
CHEMBL1822265,active,9.154901959985743,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4ccco4)c3F)cc12,449.3950000000001,2.8908000000000005,3.0,7.0
CHEMBL1822264,active,9.698970004336019,COc1n[nH]c2ncc(NC(=O)c3c(F)ccc(NS(=O)(=O)c4cccs4)c3F)cc12,465.4630000000001,3.359300000000001,3.0,7.0
